api,generation_seed,has_b2,has_b3,same_prompt_hash,b2_event_id,b3_event_id,evidence_label
torch.amax,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.amax|3407,B3:trdgl_pytorch_120_v1|torch.amax|3407,diagnostic_checkpoint
torch.amax,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.amax|7711,B3:trdgl_pytorch_120_v1|torch.amax|7711,diagnostic_checkpoint
torch.amin,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.amin|3407,B3:trdgl_pytorch_120_v1|torch.amin|3407,diagnostic_checkpoint
torch.amin,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.amin|7711,B3:trdgl_pytorch_120_v1|torch.amin|7711,diagnostic_checkpoint
torch.arange,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.arange|3407,B3:trdgl_pytorch_120_v1|torch.arange|3407,diagnostic_checkpoint
torch.arange,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.arange|7711,B3:trdgl_pytorch_120_v1|torch.arange|7711,diagnostic_checkpoint
torch.argmax,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.argmax|3407,B3:trdgl_pytorch_120_v1|torch.argmax|3407,diagnostic_checkpoint
torch.argmax,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.argmax|7711,B3:trdgl_pytorch_120_v1|torch.argmax|7711,diagnostic_checkpoint
torch.argmin,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.argmin|3407,B3:trdgl_pytorch_120_v1|torch.argmin|3407,diagnostic_checkpoint
torch.argmin,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.argmin|7711,B3:trdgl_pytorch_120_v1|torch.argmin|7711,diagnostic_checkpoint
torch.as_tensor,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.as_tensor|3407,B3:trdgl_pytorch_120_v1|torch.as_tensor|3407,diagnostic_checkpoint
torch.as_tensor,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.as_tensor|7711,B3:trdgl_pytorch_120_v1|torch.as_tensor|7711,diagnostic_checkpoint
torch.autograd.functional.jacobian,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|3407,B3:trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|3407,diagnostic_checkpoint
torch.autograd.functional.jacobian,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|7711,B3:trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|7711,diagnostic_checkpoint
torch.autograd.grad,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.autograd.grad|3407,B3:trdgl_pytorch_120_v1|torch.autograd.grad|3407,diagnostic_checkpoint
torch.autograd.grad,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.autograd.grad|7711,B3:trdgl_pytorch_120_v1|torch.autograd.grad|7711,diagnostic_checkpoint
torch.bmm,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.bmm|3407,B3:trdgl_pytorch_120_v1|torch.bmm|3407,diagnostic_checkpoint
torch.bmm,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.bmm|7711,B3:trdgl_pytorch_120_v1|torch.bmm|7711,diagnostic_checkpoint
torch.cat,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.cat|3407,B3:trdgl_pytorch_120_v1|torch.cat|3407,diagnostic_checkpoint
torch.cat,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.cat|7711,B3:trdgl_pytorch_120_v1|torch.cat|7711,diagnostic_checkpoint
torch.chunk,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.chunk|3407,B3:trdgl_pytorch_120_v1|torch.chunk|3407,diagnostic_checkpoint
torch.chunk,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.chunk|7711,B3:trdgl_pytorch_120_v1|torch.chunk|7711,diagnostic_checkpoint
torch.compile,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.compile|3407,B3:trdgl_pytorch_120_v1|torch.compile|3407,diagnostic_checkpoint
torch.compile,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.compile|7711,B3:trdgl_pytorch_120_v1|torch.compile|7711,diagnostic_checkpoint
torch.dot,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.dot|3407,B3:trdgl_pytorch_120_v1|torch.dot|3407,diagnostic_checkpoint
torch.dot,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.dot|7711,B3:trdgl_pytorch_120_v1|torch.dot|7711,diagnostic_checkpoint
torch.einsum,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.einsum|3407,B3:trdgl_pytorch_120_v1|torch.einsum|3407,diagnostic_checkpoint
torch.einsum,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.einsum|7711,B3:trdgl_pytorch_120_v1|torch.einsum|7711,diagnostic_checkpoint
torch.empty,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.empty|3407,B3:trdgl_pytorch_120_v1|torch.empty|3407,diagnostic_checkpoint
torch.empty,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.empty|7711,B3:trdgl_pytorch_120_v1|torch.empty|7711,diagnostic_checkpoint
torch.export.export,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.export.export|3407,B3:trdgl_pytorch_120_v1|torch.export.export|3407,diagnostic_checkpoint
torch.export.export,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.export.export|7711,B3:trdgl_pytorch_120_v1|torch.export.export|7711,diagnostic_checkpoint
torch.eye,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.eye|3407,B3:trdgl_pytorch_120_v1|torch.eye|3407,diagnostic_checkpoint
torch.eye,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.eye|7711,B3:trdgl_pytorch_120_v1|torch.eye|7711,diagnostic_checkpoint
torch.fft.fft,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.fft|3407,B3:trdgl_pytorch_120_v1|torch.fft.fft|3407,diagnostic_checkpoint
torch.fft.fft,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.fft|7711,B3:trdgl_pytorch_120_v1|torch.fft.fft|7711,diagnostic_checkpoint
torch.fft.fft2,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.fft2|3407,B3:trdgl_pytorch_120_v1|torch.fft.fft2|3407,diagnostic_checkpoint
torch.fft.fft2,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.fft2|7711,B3:trdgl_pytorch_120_v1|torch.fft.fft2|7711,diagnostic_checkpoint
torch.fft.fftn,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.fftn|3407,B3:trdgl_pytorch_120_v1|torch.fft.fftn|3407,diagnostic_checkpoint
torch.fft.fftn,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.fftn|7711,B3:trdgl_pytorch_120_v1|torch.fft.fftn|7711,diagnostic_checkpoint
torch.fft.hfft,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.hfft|3407,B3:trdgl_pytorch_120_v1|torch.fft.hfft|3407,diagnostic_checkpoint
torch.fft.hfft,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.hfft|7711,B3:trdgl_pytorch_120_v1|torch.fft.hfft|7711,diagnostic_checkpoint
torch.fft.ifft,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.ifft|3407,B3:trdgl_pytorch_120_v1|torch.fft.ifft|3407,diagnostic_checkpoint
torch.fft.ifft,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.ifft|7711,B3:trdgl_pytorch_120_v1|torch.fft.ifft|7711,diagnostic_checkpoint
torch.fft.ifft2,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.ifft2|3407,B3:trdgl_pytorch_120_v1|torch.fft.ifft2|3407,diagnostic_checkpoint
torch.fft.ifft2,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.ifft2|7711,B3:trdgl_pytorch_120_v1|torch.fft.ifft2|7711,diagnostic_checkpoint
torch.fft.ifftn,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.ifftn|3407,B3:trdgl_pytorch_120_v1|torch.fft.ifftn|3407,diagnostic_checkpoint
torch.fft.ifftn,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.ifftn|7711,B3:trdgl_pytorch_120_v1|torch.fft.ifftn|7711,diagnostic_checkpoint
torch.fft.ihfft,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.ihfft|3407,B3:trdgl_pytorch_120_v1|torch.fft.ihfft|3407,diagnostic_checkpoint
torch.fft.ihfft,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.ihfft|7711,B3:trdgl_pytorch_120_v1|torch.fft.ihfft|7711,diagnostic_checkpoint
torch.fft.irfft,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.irfft|3407,B3:trdgl_pytorch_120_v1|torch.fft.irfft|3407,diagnostic_checkpoint
torch.fft.irfft,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.irfft|7711,B3:trdgl_pytorch_120_v1|torch.fft.irfft|7711,diagnostic_checkpoint
torch.fft.irfft2,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.irfft2|3407,B3:trdgl_pytorch_120_v1|torch.fft.irfft2|3407,diagnostic_checkpoint
torch.fft.irfft2,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.irfft2|7711,B3:trdgl_pytorch_120_v1|torch.fft.irfft2|7711,diagnostic_checkpoint
torch.fft.rfft,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.rfft|3407,B3:trdgl_pytorch_120_v1|torch.fft.rfft|3407,diagnostic_checkpoint
torch.fft.rfft,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.rfft|7711,B3:trdgl_pytorch_120_v1|torch.fft.rfft|7711,diagnostic_checkpoint
torch.fft.rfft2,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.rfft2|3407,B3:trdgl_pytorch_120_v1|torch.fft.rfft2|3407,diagnostic_checkpoint
torch.fft.rfft2,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.fft.rfft2|7711,B3:trdgl_pytorch_120_v1|torch.fft.rfft2|7711,diagnostic_checkpoint
torch.flatten,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.flatten|3407,B3:trdgl_pytorch_120_v1|torch.flatten|3407,diagnostic_checkpoint
torch.flatten,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.flatten|7711,B3:trdgl_pytorch_120_v1|torch.flatten|7711,diagnostic_checkpoint
torch.from_numpy,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.from_numpy|3407,B3:trdgl_pytorch_120_v1|torch.from_numpy|3407,diagnostic_checkpoint
torch.from_numpy,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.from_numpy|7711,B3:trdgl_pytorch_120_v1|torch.from_numpy|7711,diagnostic_checkpoint
torch.full,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.full|3407,B3:trdgl_pytorch_120_v1|torch.full|3407,diagnostic_checkpoint
torch.full,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.full|7711,B3:trdgl_pytorch_120_v1|torch.full|7711,diagnostic_checkpoint
torch.func.grad,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.grad|3407,B3:trdgl_pytorch_120_v1|torch.func.grad|3407,diagnostic_checkpoint
torch.func.grad,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.grad|7711,B3:trdgl_pytorch_120_v1|torch.func.grad|7711,diagnostic_checkpoint
torch.func.grad_and_value,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.grad_and_value|3407,B3:trdgl_pytorch_120_v1|torch.func.grad_and_value|3407,diagnostic_checkpoint
torch.func.grad_and_value,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.grad_and_value|7711,B3:trdgl_pytorch_120_v1|torch.func.grad_and_value|7711,diagnostic_checkpoint
torch.func.hessian,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.hessian|3407,B3:trdgl_pytorch_120_v1|torch.func.hessian|3407,diagnostic_checkpoint
torch.func.hessian,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.hessian|7711,B3:trdgl_pytorch_120_v1|torch.func.hessian|7711,diagnostic_checkpoint
torch.func.jacfwd,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.jacfwd|3407,B3:trdgl_pytorch_120_v1|torch.func.jacfwd|3407,diagnostic_checkpoint
torch.func.jacfwd,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.jacfwd|7711,B3:trdgl_pytorch_120_v1|torch.func.jacfwd|7711,diagnostic_checkpoint
torch.func.jacrev,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.jacrev|3407,B3:trdgl_pytorch_120_v1|torch.func.jacrev|3407,diagnostic_checkpoint
torch.func.jacrev,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.jacrev|7711,B3:trdgl_pytorch_120_v1|torch.func.jacrev|7711,diagnostic_checkpoint
torch.func.jvp,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.jvp|3407,B3:trdgl_pytorch_120_v1|torch.func.jvp|3407,diagnostic_checkpoint
torch.func.jvp,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.jvp|7711,B3:trdgl_pytorch_120_v1|torch.func.jvp|7711,diagnostic_checkpoint
torch.func.vjp,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.vjp|3407,B3:trdgl_pytorch_120_v1|torch.func.vjp|3407,diagnostic_checkpoint
torch.func.vjp,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.vjp|7711,B3:trdgl_pytorch_120_v1|torch.func.vjp|7711,diagnostic_checkpoint
torch.func.vmap,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.vmap|3407,B3:trdgl_pytorch_120_v1|torch.func.vmap|3407,diagnostic_checkpoint
torch.func.vmap,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.func.vmap|7711,B3:trdgl_pytorch_120_v1|torch.func.vmap|7711,diagnostic_checkpoint
torch.gather,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.gather|3407,B3:trdgl_pytorch_120_v1|torch.gather|3407,diagnostic_checkpoint
torch.gather,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.gather|7711,B3:trdgl_pytorch_120_v1|torch.gather|7711,diagnostic_checkpoint
torch.index_add,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.index_add|3407,B3:trdgl_pytorch_120_v1|torch.index_add|3407,diagnostic_checkpoint
torch.index_add,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.index_add|7711,B3:trdgl_pytorch_120_v1|torch.index_add|7711,diagnostic_checkpoint
torch.index_put,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.index_put|3407,B3:trdgl_pytorch_120_v1|torch.index_put|3407,diagnostic_checkpoint
torch.index_put,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.index_put|7711,B3:trdgl_pytorch_120_v1|torch.index_put|7711,diagnostic_checkpoint
torch.index_select,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.index_select|3407,B3:trdgl_pytorch_120_v1|torch.index_select|3407,diagnostic_checkpoint
torch.index_select,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.index_select|7711,B3:trdgl_pytorch_120_v1|torch.index_select|7711,diagnostic_checkpoint
torch.linalg.eigvalsh,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.eigvalsh|3407,B3:trdgl_pytorch_120_v1|torch.linalg.eigvalsh|3407,diagnostic_checkpoint
torch.linalg.eigvalsh,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.eigvalsh|7711,B3:trdgl_pytorch_120_v1|torch.linalg.eigvalsh|7711,diagnostic_checkpoint
torch.linalg.inv,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.inv|3407,B3:trdgl_pytorch_120_v1|torch.linalg.inv|3407,diagnostic_checkpoint
torch.linalg.inv,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.inv|7711,B3:trdgl_pytorch_120_v1|torch.linalg.inv|7711,diagnostic_checkpoint
torch.linalg.qr,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.qr|3407,B3:trdgl_pytorch_120_v1|torch.linalg.qr|3407,diagnostic_checkpoint
torch.linalg.qr,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.qr|7711,B3:trdgl_pytorch_120_v1|torch.linalg.qr|7711,diagnostic_checkpoint
torch.linalg.solve,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.solve|3407,B3:trdgl_pytorch_120_v1|torch.linalg.solve|3407,diagnostic_checkpoint
torch.linalg.solve,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.solve|7711,B3:trdgl_pytorch_120_v1|torch.linalg.solve|7711,diagnostic_checkpoint
torch.linalg.svd,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.svd|3407,B3:trdgl_pytorch_120_v1|torch.linalg.svd|3407,diagnostic_checkpoint
torch.linalg.svd,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.linalg.svd|7711,B3:trdgl_pytorch_120_v1|torch.linalg.svd|7711,diagnostic_checkpoint
torch.linspace,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.linspace|3407,B3:trdgl_pytorch_120_v1|torch.linspace|3407,diagnostic_checkpoint
torch.linspace,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.linspace|7711,B3:trdgl_pytorch_120_v1|torch.linspace|7711,diagnostic_checkpoint
torch.logspace,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.logspace|3407,B3:trdgl_pytorch_120_v1|torch.logspace|3407,diagnostic_checkpoint
torch.logspace,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.logspace|7711,B3:trdgl_pytorch_120_v1|torch.logspace|7711,diagnostic_checkpoint
torch.logsumexp,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.logsumexp|3407,B3:trdgl_pytorch_120_v1|torch.logsumexp|3407,diagnostic_checkpoint
torch.logsumexp,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.logsumexp|7711,B3:trdgl_pytorch_120_v1|torch.logsumexp|7711,diagnostic_checkpoint
torch.masked_select,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.masked_select|3407,B3:trdgl_pytorch_120_v1|torch.masked_select|3407,diagnostic_checkpoint
torch.masked_select,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.masked_select|7711,B3:trdgl_pytorch_120_v1|torch.masked_select|7711,diagnostic_checkpoint
torch.matmul,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.matmul|3407,B3:trdgl_pytorch_120_v1|torch.matmul|3407,diagnostic_checkpoint
torch.matmul,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.matmul|7711,B3:trdgl_pytorch_120_v1|torch.matmul|7711,diagnostic_checkpoint
torch.mean,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.mean|3407,B3:trdgl_pytorch_120_v1|torch.mean|3407,diagnostic_checkpoint
torch.mean,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.mean|7711,B3:trdgl_pytorch_120_v1|torch.mean|7711,diagnostic_checkpoint
torch.median,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.median|3407,B3:trdgl_pytorch_120_v1|torch.median|3407,diagnostic_checkpoint
torch.median,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.median|7711,B3:trdgl_pytorch_120_v1|torch.median|7711,diagnostic_checkpoint
torch.mm,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.mm|3407,B3:trdgl_pytorch_120_v1|torch.mm|3407,diagnostic_checkpoint
torch.mm,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.mm|7711,B3:trdgl_pytorch_120_v1|torch.mm|7711,diagnostic_checkpoint
torch.mv,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.mv|3407,B3:trdgl_pytorch_120_v1|torch.mv|3407,diagnostic_checkpoint
torch.mv,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.mv|7711,B3:trdgl_pytorch_120_v1|torch.mv|7711,diagnostic_checkpoint
torch.nn.functional.avg_pool1d,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool1d|3407,B3:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool1d|3407,diagnostic_checkpoint
torch.nn.functional.avg_pool1d,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool1d|7711,B3:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool1d|7711,diagnostic_checkpoint
torch.nn.functional.avg_pool2d,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool2d|3407,B3:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool2d|3407,diagnostic_checkpoint
torch.nn.functional.avg_pool2d,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool2d|7711,B3:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool2d|7711,diagnostic_checkpoint
torch.nn.functional.avg_pool3d,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool3d|3407,B3:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool3d|3407,diagnostic_checkpoint
torch.nn.functional.avg_pool3d,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool3d|7711,B3:trdgl_pytorch_120_v1|torch.nn.functional.avg_pool3d|7711,diagnostic_checkpoint
torch.nn.functional.batch_norm,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.nn.functional.batch_norm|3407,B3:trdgl_pytorch_120_v1|torch.nn.functional.batch_norm|3407,diagnostic_checkpoint
torch.nn.functional.batch_norm,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.nn.functional.batch_norm|7711,B3:trdgl_pytorch_120_v1|torch.nn.functional.batch_norm|7711,diagnostic_checkpoint
torch.nn.functional.binary_cross_entropy_with_logits,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.nn.functional.binary_cross_entropy_with_logits|3407,B3:trdgl_pytorch_120_v1|torch.nn.functional.binary_cross_entropy_with_logits|3407,diagnostic_checkpoint
